"id"	"label"
"GO:0001667"	"ameboidal-type cell migration"
"GO:0001755"	"neural crest cell migration"
"GO:0003363"	"lamellipodium assembly involved in ameboidal cell migration"
"GO:0003365"	"establishment of cell polarity involved in ameboidal cell migration"
"GO:0003366"	"cell-matrix adhesion involved in ameboidal cell migration"
"GO:0006932"	"substrate-dependent cell migration, cell contraction"
"GO:0008078"	"mesodermal cell migration"
"GO:0010631"	"epithelial cell migration"
"GO:0010761"	"fibroblast migration"
"GO:0021806"	"initiation of movement involved in cerebral cortex radial glia guided migration"
"GO:0042074"	"cell migration involved in gastrulation"
"GO:0061450"	"trophoblast cell migration"
"GO:0090497"	"mesenchymal cell migration"
"GO:0003147"	"neural crest cell migration involved in heart formation"
"GO:0003253"	"cardiac neural crest cell migration involved in outflow tract morphogenesis"
"GO:0003364"	"lamellipodium assembly involved in mesendodermal cell migration"
"GO:0003367"	"cell-cell adhesion involved in ameboidal cell migration"
"GO:0003368"	"cell-matrix adhesion involved in mesendodermal cell migration"
"GO:0003371"	"establishment or maintenance of cytoskeleton polarity involved in ameboidal cell migration"
"GO:0003379"	"establishment of cell polarity involved in gastrulation cell migration"
"GO:0007297"	"ovarian follicle cell migration"
"GO:0007427"	"epithelial cell migration, open tracheal system"
"GO:0007509"	"mesoderm migration involved in gastrulation"
"GO:0010632"	"regulation of epithelial cell migration"
"GO:0010633"	"negative regulation of epithelial cell migration"
"GO:0010634"	"positive regulation of epithelial cell migration"
"GO:0010762"	"regulation of fibroblast migration"
"GO:0010763"	"positive regulation of fibroblast migration"
"GO:0010764"	"negative regulation of fibroblast migration"
"GO:0021807"	"motogenic signaling initiating cell movement in cerebral cortex"
"GO:0021808"	"cytosolic calcium signaling involved in initiation of cell movement in glial-mediated radial cell migration"
"GO:0035322"	"mesenchymal cell migration involved in limb bud formation"
"GO:0036484"	"trunk neural crest cell migration"
"GO:0043542"	"endothelial cell migration"
"GO:0051546"	"keratinocyte migration"
"GO:0055111"	"ingression involved in gastrulation with mouth forming second"
"GO:0060030"	"dorsal convergence"
"GO:0060031"	"mediolateral intercalation"
"GO:0060518"	"cell migration involved in prostatic bud elongation"
"GO:0060619"	"cell migration involved in mammary placode formation"
"GO:0061581"	"corneal epithelial cell migration"
"GO:0061582"	"intestinal epithelial cell migration"
"GO:0061868"	"hepatic stellate cell migration"
"GO:0072155"	"epithelial cell migration involved in nephron tubule morphogenesis"
"GO:0090134"	"cell migration involved in mesendoderm migration"
"GO:0090521"	"glomerular visceral epithelial cell migration"
"GO:0097324"	"melanocyte migration"
"GO:1901163"	"regulation of trophoblast cell migration"
"GO:1901164"	"negative regulation of trophoblast cell migration"
"GO:1901165"	"positive regulation of trophoblast cell migration"
"GO:1901166"	"neural crest cell migration involved in autonomic nervous system development"
"GO:0003369"	"establishment of cell polarity involved in mesendodermal cell migration"
"GO:0003370"	"cell-cell adhesion involved in mesendodermal cell migration"
"GO:0003380"	"establishment or maintenance of cytoskeleton polarity involved in gastrulation"
"GO:0007298"	"border follicle cell migration"
"GO:0010594"	"regulation of endothelial cell migration"
"GO:0010595"	"positive regulation of endothelial cell migration"
"GO:0010596"	"negative regulation of endothelial cell migration"
"GO:0021809"	"neurotrophic factor signaling initiating cell movement, involved in cerebral cortex radial glia guided migration"
"GO:0021810"	"neurotransmitter signaling initiating cell movement, involved in cerebral cortex radial glia guided migration"
"GO:0021811"	"growth factor signaling initiating cell movement involved in cerebral cortex radial glia guided migration"
"GO:0035767"	"endothelial cell chemotaxis"
"GO:0036485"	"dorsolateral trunk neural crest cell migration"
"GO:0036486"	"ventral trunk neural crest cell migration"
"GO:0043534"	"blood vessel endothelial cell migration"
"GO:0051547"	"regulation of keratinocyte migration"
"GO:0051548"	"negative regulation of keratinocyte migration"
"GO:0051549"	"positive regulation of keratinocyte migration"
"GO:0060269"	"centripetally migrating follicle cell migration"
"GO:0060270"	"main body follicle cell migration"
"GO:0060775"	"planar cell polarity pathway involved in gastrula mediolateral intercalation"
"GO:0061278"	"epithelial cell migration involved in mesonephric nephron tubule morphogenesis"
"GO:0061580"	"colon epithelial cell migration"
"GO:0061869"	"regulation of hepatic stellate cell migration"
"GO:0061870"	"positive regulation of hepatic stellate cell migration"
"GO:0061871"	"negative regulation of hepatic stellate cell migration"
"GO:0072157"	"epithelial cell migration involved in distal tubule morphogenesis"
"GO:0072159"	"epithelial cell migration involved in proximal tubule morphogenesis"
"GO:0072290"	"epithelial cell migration involved in metanephric nephron tubule morphogenesis"
"GO:1903045"	"neural crest cell migration involved in sympathetic nervous system development"
"GO:1903684"	"regulation of border follicle cell migration"
"GO:1903687"	"negative regulation of border follicle cell migration"
"GO:1903688"	"positive regulation of border follicle cell migration"
"GO:1904977"	"lymphatic endothelial cell migration"
"GO:1905310"	"regulation of cardiac neural crest cell migration involved in outflow tract morphogenesis"
"GO:1905311"	"negative regulation of cardiac neural crest cell migration involved in outflow tract morphogenesis"
"GO:1905312"	"positive regulation of cardiac neural crest cell migration involved in outflow tract morphogenesis"
"GO:2000274"	"regulation of epithelial cell migration, open tracheal system"
"GO:0002042"	"cell migration involved in sprouting angiogenesis"
"GO:0002044"	"blood vessel endothelial cell migration involved in intussusceptive angiogenesis"
"GO:0003372"	"establishment or maintenance of cytoskeleton polarity involved in mesendodermal cell migration"
"GO:0035768"	"endothelial cell chemotaxis to fibroblast growth factor"
"GO:0043535"	"regulation of blood vessel endothelial cell migration"
"GO:0043536"	"positive regulation of blood vessel endothelial cell migration"
"GO:0043537"	"negative regulation of blood vessel endothelial cell migration"
"GO:0044328"	"canonical Wnt signaling pathway involved in positive regulation of endothelial cell migration"
"GO:0060855"	"venous endothelial cell migration involved in lymph vessel development"
"GO:0061279"	"epithelial cell migration involved in mesonephric distal tubule morphogenesis"
"GO:0061280"	"epithelial cell migration involved in mesonephric proximal tubule morphogenesis"
"GO:0061583"	"colon epithelial cell chemotaxis"
"GO:0072291"	"epithelial cell migration involved in metanephric distal tubule morphogenesis"
"GO:0072292"	"epithelial cell migration involved in metanephric proximal tubule morphogenesis"
"GO:2001026"	"regulation of endothelial cell chemotaxis"
"GO:2001027"	"negative regulation of endothelial cell chemotaxis"
"GO:2001028"	"positive regulation of endothelial cell chemotaxis"
"GO:0038033"	"positive regulation of endothelial cell chemotaxis by VEGF-activated vascular endothelial growth factor receptor signaling pathway"
"GO:0090049"	"regulation of cell migration involved in sprouting angiogenesis"
"GO:0090050"	"positive regulation of cell migration involved in sprouting angiogenesis"
"GO:0090051"	"negative regulation of cell migration involved in sprouting angiogenesis"
"GO:2000544"	"regulation of endothelial cell chemotaxis to fibroblast growth factor"
"GO:2000545"	"negative regulation of endothelial cell chemotaxis to fibroblast growth factor"
"GO:2000546"	"positive regulation of endothelial cell chemotaxis to fibroblast growth factor"
"GO:0001767"	"establishment of lymphocyte polarity"
"GO:0001768"	"establishment of T cell polarity"
"GO:0001769"	"establishment of B cell polarity"
"GO:0001770"	"establishment of natural killer cell polarity"
"GO:1903903"	"regulation of establishment of T cell polarity"
"GO:1903904"	"negative regulation of establishment of T cell polarity"
"GO:1903905"	"positive regulation of establishment of T cell polarity"
"GO:0001773"	"myeloid dendritic cell activation"
"GO:0002277"	"myeloid dendritic cell activation involved in immune response"
"GO:0030885"	"regulation of myeloid dendritic cell activation"
"GO:0030886"	"negative regulation of myeloid dendritic cell activation"
"GO:0030887"	"positive regulation of myeloid dendritic cell activation"
"GO:0043011"	"myeloid dendritic cell differentiation"
"GO:0002284"	"myeloid dendritic cell differentiation involved in immune response"
"GO:0061520"	"Langerhans cell differentiation"
"GO:0001776"	"leukocyte homeostasis"
"GO:0001780"	"neutrophil homeostasis"
"GO:0002260"	"lymphocyte homeostasis"
"GO:0033023"	"mast cell homeostasis"
"GO:0035702"	"monocyte homeostasis"
"GO:0036145"	"dendritic cell homeostasis"
