"source"	"source_name"	"relation"	"target"	"target_name"
"GO:0002520"	"immune system development"	"results in development of"	"UBERON:0002405"	"immune system"
"UBERON:0002405"	"immune system"	"capable of"	"GO:0002376"	"immune system process"
"GO:0048535"	"lymph node development"	"results in development of"	"UBERON:0000029"	"lymph node"
"UBERON:0001249"	"spleen lymphoid follicle"	"contains process"	"GO:0002319"	"memory B cell differentiation"
"UBERON:0001745"	"secondary nodular lymphoid tissue"	"contains process"	"GO:0042100"	"B cell proliferation"
"GO:0002467"	"germinal center formation"	"results in formation of anatomical entity"	"UBERON:0001745"	"secondary nodular lymphoid tissue"
"GO:0002314"	"germinal center B cell differentiation"	"results in acquisition of features of"	"CL:0000844"	"germinal center B cell"
"CL:0000964"	"Bm2' B cell"	"capable of"	"GO:0002634"	"regulation of germinal center formation"
"CL:0000965"	"Bm3 B cell"	"capable of"	"GO:0016446"	"somatic hypermutation of immunoglobulin genes"
"CL:0000966"	"Bm4 B cell"	"output of"	"GO:0016446"	"somatic hypermutation of immunoglobulin genes"
"UBERON:0004697"	"Peyer's patch germinal center"	"contains process"	"GO:0002317"	"plasma cell differentiation"
"UBERON:0004697"	"Peyer's patch germinal center"	"contains process"	"GO:0042100"	"B cell proliferation"
"UBERON:0001961"	"mucosa-associated lymphoid tissue"	"contains process"	"GO:0046649"	"lymphocyte activation"
"GO:0048537"	"mucosa-associated lymphoid tissue development"	"results in development of"	"UBERON:0001961"	"mucosa-associated lymphoid tissue"
"GO:0002387"	"immune response in gut-associated lymphoid tissue"	"occurs in"	"UBERON:0001962"	"gut-associated lymphoid tissue"
"GO:0061146"	"Peyer's patch morphogenesis"	"results in morphogenesis of"	"UBERON:0001211"	"Peyer's patch"
"GO:0002388"	"immune response in Peyer's patch"	"occurs in"	"UBERON:0001211"	"Peyer's patch"
"GO:0048541"	"Peyer's patch development"	"results in development of"	"UBERON:0001211"	"Peyer's patch"
"GO:0002395"	"immune response in nasopharyngeal-associated lymphoid tissue"	"occurs in"	"UBERON:0012330"	"nasal-associated lymphoid tissue"
"GO:0001946"	"lymphangiogenesis"	"results in formation of anatomical entity"	"UBERON:0001473"	"lymphatic vessel"
"GO:0001945"	"lymph vessel development"	"results in development of"	"UBERON:0001473"	"lymphatic vessel"
"GO:0036303"	"lymph vessel morphogenesis"	"results in morphogenesis of"	"UBERON:0001473"	"lymphatic vessel"
"GO:1904977"	"lymphatic endothelial cell migration"	"results in movement of"	"CL:0002138"	"endothelial cell of lymphatic vessel"
"GO:0060836"	"lymphatic endothelial cell differentiation"	"results in acquisition of features of"	"CL:0002138"	"endothelial cell of lymphatic vessel"
"GO:0071887"	"leukocyte apoptotic process"	"occurs in"	"CL:0000738"	"leukocyte"
"GO:0070661"	"leukocyte proliferation"	"acts on population of"	"CL:0000738"	"leukocyte"
"GO:0050900"	"leukocyte migration"	"results in movement of"	"CL:0000738"	"leukocyte"
"GO:0043299"	"leukocyte degranulation"	"occurs in"	"CL:0000738"	"leukocyte"
"GO:0030595"	"leukocyte chemotaxis"	"results in movement of"	"CL:0000738"	"leukocyte"
"GO:0007159"	"leukocyte cell-cell adhesion"	"has participant"	"CL:0000738"	"leukocyte"
"GO:0002521"	"leukocyte differentiation"	"results in acquisition of features of"	"CL:0000738"	"leukocyte"
"GO:0002443"	"leukocyte mediated immunity"	"process has causal agent"	"CL:0000738"	"leukocyte"
"GO:0001909"	"leukocyte mediated cytotoxicity"	"process has causal agent"	"CL:0000738"	"leukocyte"
"GO:0001776"	"leukocyte homeostasis"	"acts on population of"	"CL:0000738"	"leukocyte"
"GO:0045321"	"leukocyte activation"	"has primary input"	"CL:0000738"	"leukocyte"
"CL:0000738"	"leukocyte"	"capable of"	"GO:0001667"	"ameboidal-type cell migration"
"CL:0000145"	"professional antigen presenting cell"	"capable of"	"GO:0002504"	"antigen processing and presentation of peptide or polysaccharide antigen via MHC class II"
"GO:1905517"	"macrophage migration"	"results in movement of"	"CL:0000235"	"macrophage"
"GO:0071888"	"macrophage apoptotic process"	"occurs in"	"CL:0000235"	"macrophage"
"GO:0061519"	"macrophage homeostasis"	"acts on population of"	"CL:0000235"	"macrophage"
"GO:0048246"	"macrophage chemotaxis"	"results in movement of"	"CL:0000235"	"macrophage"
"GO:0042116"	"macrophage activation"	"has primary input"	"CL:0000235"	"macrophage"
"GO:0030225"	"macrophage differentiation"	"results in acquisition of features of"	"CL:0000235"	"macrophage"
"GO:0010934"	"macrophage cytokine production"	"occurs in"	"CL:0000235"	"macrophage"
"GO:0002472"	"macrophage antigen processing and presentation"	"occurs in"	"CL:0000235"	"macrophage"
"CL:0000235"	"macrophage"	"capable of"	"GO:0006909"	"phagocytosis"
"CL:0000235"	"macrophage"	"capable of"	"GO:0031268"	"pseudopodium organization"
"CL:0000235"	"macrophage"	"capable of"	"GO:0002504"	"antigen processing and presentation of peptide or polysaccharide antigen via MHC class II"
"CL:0000777"	"mesangial phagocyte"	"capable of"	"GO:0019882"	"antigen processing and presentation"
"CL:0000777"	"mesangial phagocyte"	"capable of"	"GO:0048771"	"tissue remodeling"
"GO:0097511"	"dendritic cell dendrite"	"part of"	"CL:0000451"	"dendritic cell"
"GO:0097048"	"dendritic cell apoptotic process"	"occurs in"	"CL:0000451"	"dendritic cell"
"GO:0097028"	"dendritic cell differentiation"	"results in acquisition of features of"	"CL:0000451"	"dendritic cell"
"GO:0044565"	"dendritic cell proliferation"	"acts on population of"	"CL:0000451"	"dendritic cell"
"GO:0036336"	"dendritic cell migration"	"results in movement of"	"CL:0000451"	"dendritic cell"
"GO:0002468"	"dendritic cell antigen processing and presentation"	"occurs in"	"CL:0000451"	"dendritic cell"
"GO:0002407"	"dendritic cell chemotaxis"	"results in movement of"	"CL:0000451"	"dendritic cell"
"GO:0002371"	"dendritic cell cytokine production"	"process has causal agent"	"CL:0000451"	"dendritic cell"
"CL:0000451"	"dendritic cell"	"capable of"	"GO:0019882"	"antigen processing and presentation"
"CL:0000451"	"dendritic cell"	"capable of"	"GO:0001816"	"cytokine production"
"CL:0000451"	"dendritic cell"	"capable of"	"GO:0045580"	"regulation of T cell differentiation"
"CL:0000451"	"dendritic cell"	"capable of"	"GO:0002504"	"antigen processing and presentation of peptide or polysaccharide antigen via MHC class II"
"GO:0036145"	"dendritic cell homeostasis"	"acts on population of"	"CL:0000451"	"dendritic cell"
