"id"	"label"
"UBERON:0002405"	"immune system"
"UBERON:0002465"	"lymphoid system"
"UBERON:0000029"	"lymph node"
"CL:0009115"	"lymph node lymphatic vessel endothelial cell"
"UBERON:0002006"	"cortex of lymph node"
"UBERON:0010416"	"lymph node B cell domain"
"UBERON:0010417"	"lymph node T cell domain"
"UBERON:8410066"	"lymph node paracortex"
"CL:0009064"	"lymph node paracortex T cell"
"UBERON:8410074"	"lymph node paracortical sinus"
"UBERON:8410075"	"lymph node paracortical cord"
"UBERON:8410067"	"lymph node interfollicular cortex"
"UBERON:0010748"	"lymph node follicle"
"UBERON:0010395"	"lymph node primary follicle"
"UBERON:0010753"	"lymph node secondary follicle"
"UBERON:0009039"	"lymph node germinal center"
"UBERON:8410052"	"lymph node germinal center light zone"
"UBERON:8410053"	"lymph node germinal center dark zone"
"UBERON:0010420"	"lymph node germinal center mantle zone"
"CL:0009037"	"lymph node mantle zone B cell"
"UBERON:8410072"	"subcapsular sinus floor"
"UBERON:0002007"	"medulla of lymph node"
"UBERON:0009744"	"lymph node medullary sinus"
"CL:0009045"	"B cell of medullary sinus of lymph node"
"CL:0009046"	"T cell of medullary sinus of lymph node"
"CL:0009047"	"macrophage of medullary sinus of lymph node"
"CL:0009059"	"plasma cell of medullary sinus of lymph node"
"UBERON:0009745"	"lymph node medullary cord"
"UBERON:8410035"	"medullary arteriole of lymph node"
"UBERON:8410036"	"medullary venule of lymph node"
"UBERON:0002194"	"capsule of lymph node"
"UBERON:8410071"	"subcapsular sinus ceiling"
"UBERON:0002195"	"trabecula of lymph node"
"UBERON:0002429"	"cervical lymph node"
"UBERON:0004722"	"deep cervical lymph node"
"UBERON:0012310"	"deep lateral cervical lymph node"
"UBERON:0037763"	"lateral superior deep cervical lymph node"
"UBERON:0037764"	"anterior superior deep cervical lymph node"
"UBERON:0037765"	"lateral inferior deep cervical lymph node"
"UBERON:0037766"	"anterior inferior deep cervical lymph node"
"UBERON:0038934"	"superior deep lateral cervical lymph node"
"UBERON:0038935"	"inferior deep lateral cervical lymph node"
"UBERON:0038936"	"jugulodigastric lymph node"
"UBERON:0012311"	"deep anterior cervical lymph node"
"UBERON:0015869"	"retropharyngeal lymph node"
"UBERON:0037722"	"right retropharyngeal lymph node"
"UBERON:0037723"	"left retropharyngeal lymph node"
"UBERON:0038894"	"paratracheal lymph node"
"UBERON:0038929"	"infrahyoid lymph node"
"UBERON:0038930"	"prelaryngeal lymph node"
"UBERON:0038931"	"thyroid lymph node"
"UBERON:0038932"	"pretracheal lymph node"
"UBERON:0004870"	"superficial cervical lymph node"
"UBERON:0012308"	"superficial lateral cervical lymph node"
"UBERON:0012309"	"superficial anterior cervical lymph node"
"UBERON:0012306"	"lateral cervical lymph node"
"UBERON:0012307"	"anterior cervical lymph node"
"UBERON:0016382"	"prescapular lymph node"
"UBERON:0035279"	"supraclavicular lymph node"
"UBERON:8480056"	"left supraclavicular lymph node"
"UBERON:8480058"	"Virchow's lymph node"
"UBERON:8480057"	"right supraclavicular lymph node"
"UBERON:0037865"	"jugular lymph node"
"UBERON:0037998"	"external jugular lymph node"
"UBERON:0038037"	"subclavian lymph node"
"UBERON:0038938"	"accessory cervical lymph node"
"UBERON:0002507"	"abdominal lymph node"
"UBERON:0002526"	"lumbar lymph node"
"UBERON:0037601"	"left parietal lumbar lymph node"
"UBERON:0038137"	"parietal pre-aortic lymph node"
"UBERON:0038139"	"retro-aortic lymph node"
"UBERON:0002527"	"pancreatic lymph node"
"UBERON:0037530"	"inferior pancreatic lymph node"
"UBERON:0015860"	"visceral abdominal lymph node"
"UBERON:0002508"	"celiac lymph node"
"UBERON:0002509"	"mesenteric lymph node"
"UBERON:0038093"	"jejunal lymph node"
"UBERON:0038727"	"juxta-intestinal mesenteric lymph node"
"UBERON:0037514"	"intermediate mesenteric lymph node"
"UBERON:0038737"	"intermediate jejunal lymph node"
"UBERON:0038738"	"intermediate ileal lymph node"
"UBERON:0037515"	"juxta-arterial mesenteric lymph node"
"UBERON:0038735"	"juxta-arterial jejunal lymph node"
"UBERON:0038736"	"juxta-arterial ileal lymph node"
"UBERON:0037522"	"ileal lymph node"
"UBERON:8480054"	"ileocecal lymph node"
"UBERON:0016401"	"pancreaticoduodenal lymph node"
"UBERON:0038707"	"anterior pancreaticoduodenal lymph node"
"UBERON:0038818"	"posterior ancreaticoduodenal lymph node"
"UBERON:0037527"	"superior pancreaticoduodenal lymph node"
"UBERON:0038697"	"anterior superior pancreaticoduodenal lymph node"
"UBERON:0038698"	"posterior superior pancreaticoduodenal lymph node"
"UBERON:0037528"	"inferior pancreaticoduodenal lymph node"
"UBERON:0038699"	"anterior inferior pancreaticoduodenal lymph node"
"UBERON:0038700"	"posterior inferior pancreaticoduodenal lymph node"
"UBERON:0015859"	"hepatic lymph node"
"UBERON:0038691"	"common hepatic lymph node"
"UBERON:0038694"	"hepatoportal lymph node"
"UBERON:0038796"	"lymph node along bile duct"
"UBERON:0015863"	"gastric lymph node"
"UBERON:0038746"	"gastro-epiploic lymph node"
"UBERON:0037494"	"paracardial gastric lymph node"
"UBERON:0037580"	"left gastric lymph node"
"UBERON:0038684"	"superior left gastric lymph node"
"UBERON:0038685"	"inferior left gastric lymph node"
"UBERON:0015865"	"pancreaticosplenic lymph node"
"UBERON:0038695"	"proximal superior pancreatic lymph node"
"UBERON:0038696"	"distal superior pancreatic lymph node"
"UBERON:0015866"	"pyloric lymph node"
"UBERON:0038951"	"suprapyloric lymph node"
"UBERON:0038952"	"subpyloric lymph node"
"UBERON:0038953"	"retropyloric lymph node"
"UBERON:0015867"	"cystic lymph node"
"UBERON:0015868"	"lymph node of epiploic foramen"
"UBERON:0038053"	"cardiophrenic angle lymph node"
"UBERON:0038054"	"retrocrural lymph node"
"UBERON:0038094"	"inferior rectal lymph node"
"UBERON:0037531"	"intestinal lymph node"
"UBERON:0038734"	"visceral pre-aortic lymph node"
"UBERON:0037614"	"appendicular lymph node"
"UBERON:0037615"	"pararectal lymph node"
"UBERON:0038784"	"pararectal lymph node of pelvis"
"UBERON:0039168"	"colic lymph node"
"UBERON:0016402"	"mesocolic lymph node"
"UBERON:0037518"	"epicolic lymph node"
"UBERON:0037521"	"preterminal colic lymph node"
"UBERON:0037559"	"anorectal lymph node"
"UBERON:0038687"	"visceral lymph node of abdomen"
"UBERON:8480059"	"perigastric lymph node"
"UBERON:0002525"	"brachial lymph node"
"UBERON:0003425"	"renal lymph node"
"UBERON:0003968"	"peripheral lymph node"
"UBERON:0001097"	"axillary lymph node"
"UBERON:0037560"	"superficial axillary lymph node"
"UBERON:0037500"	"subscapular axillary lymph node"
"UBERON:0037793"	"right subscapular axillary lymph node"
"UBERON:0037794"	"left subscapular axillary lymph node"
"UBERON:0037501"	"pectoral axillary lymph node"
"UBERON:0037795"	"right pectoral axillary lymph node"
"UBERON:0037796"	"left pectoral axillary lymph node"
"UBERON:0037502"	"central axillary lymph node"
"UBERON:0037797"	"right central axillary lymph node"
"UBERON:0037798"	"left central axillary lymph node"
"UBERON:0037503"	"apical axillary lymph node"
"UBERON:0037790"	"left apical axillary lymph node"
"UBERON:0037789"	"right apical axillary lymph node"
"UBERON:0037590"	"lateral axillary lymph node"
"UBERON:0001542"	"inguinal lymph node"
"UBERON:0009006"	"deep inguinal lymph node"
"UBERON:0015895"	"proximal deep inguinal lymph node"
"UBERON:0038859"	"intermediate deep inguinal lymph node"
"UBERON:0038860"	"distal deep inguinal lymph node"
"UBERON:0009007"	"superficial inguinal lymph node"
"UBERON:0038855"	"superior medial inguinal lymph node"
"UBERON:0038856"	"superior lateral inguinal lymph node"
"UBERON:0038857"	"inferior inguinal lymph node"
"UBERON:0001543"	"popliteal lymph node"
"UBERON:0038853"	"superficial popliteal lymph node"
"UBERON:0038854"	"deep popliteal lymph node"
"UBERON:0002520"	"submandibular lymph node"
"UBERON:0004850"	"lymph node endothelium"
"UBERON:0005463"	"subcapsular sinus of lymph node"
"UBERON:0007644"	"thoracic lymph node"
"UBERON:0002524"	"mediastinal lymph node"
"UBERON:0007643"	"node of ligamentum arteriosum"
"UBERON:0035520"	"anterior mediastinal lymph node"
"UBERON:0038632"	"pericardial lymph node"
"UBERON:0038633"	"aortopulmonary lymph node"
"UBERON:0038634"	"para-aortic thoracic lymph node"
"UBERON:0038647"	"lymph node of inferior pulmonary ligament"
"UBERON:0038651"	"superior mediastinal lymph node"
"UBERON:8480055"	"subcarinal lymph node"
"UBERON:0038888"	"posterior mediastinal lymph node"
"UBERON:0037566"	"diaphragmatic lymph node"
"UBERON:0038124"	"medial diaphragmatic lymph node"
"UBERON:0038587"	"paracardiac lymph node"
"UBERON:0038878"	"lateral diaphragmatic lymph node"
"UBERON:0038879"	"anterior diaphragmatic lymph node"
"UBERON:0038882"	"posterior diaphragmatic lymph node"
"UBERON:0038943"	"superior diaphragmatic lymph node"
"UBERON:0012236"	"intercostal lymph node"
"UBERON:0038002"	"upper intercostal lymph node"
"UBERON:0038003"	"lower intercostal lymph node"
"UBERON:0015472"	"tracheobronchial lymph node"
"UBERON:0038897"	"superior tracheobronchial lymph node"
"UBERON:0038900"	"inferior tracheobronchial lymph node"
"UBERON:0035219"	"parasternal lymph node"
"UBERON:0038001"	"sternal lymph node"
"UBERON:0038868"	"paramammary lymph node"
"UBERON:0038885"	"brachiocephalic lymph node"
"UBERON:0037480"	"supramammary lymph node"
"UBERON:0039167"	"bronchopulmonary lymph node"
"UBERON:0035764"	"pulmonary lymph node"
"UBERON:0035765"	"subsegmental lymph node"
"UBERON:0038635"	"interlobar lymph node"
"UBERON:0038638"	"lobar lymph node"
"UBERON:0038641"	"segmental lymph node"
"UBERON:0010396"	"afferent lymphatic vessel"
"UBERON:8410013"	"afferent lymphatic vessel valve"
"UBERON:0015876"	"pelvic lymph node"
"UBERON:0015877"	"parietal pelvic lymph node"
"UBERON:0015878"	"common iliac lymph node"
"UBERON:0037532"	"medial common iliac lymph node"
"UBERON:0037533"	"intermediate common iliac lymph node"
"UBERON:0037534"	"lateral common iliac lymph node"
"UBERON:0037535"	"subaortic common iliac lymph node"
"UBERON:0037536"	"promontory lymph node"
"UBERON:0015880"	"external iliac lymph node"
"UBERON:0035171"	"obturator lymph node"
"UBERON:0037538"	"medial external iliac lymph node"
"UBERON:0037539"	"intermediate external iliac lymph node"
"UBERON:0037540"	"lateral external iliac lymph node"
"UBERON:0037541"	"interiliac lymph node"
"UBERON:0015881"	"internal iliac lymph node"
"UBERON:0015883"	"gluteal lymph node"
"UBERON:0037548"	"superior gluteal lymph node"
"UBERON:0037549"	"inferior gluteal lymph node"
"UBERON:0015884"	"presymphysial lymph node"
"UBERON:8480045"	"subiliac lymph node"
"UBERON:0015453"	"subcutaneous lymph node"
"UBERON:0015469"	"splenic lymph node"
"UBERON:0015917"	"superficial lymph node"
"UBERON:0015923"	"superficial parotid lymph node"
"UBERON:0015925"	"superficial intraparotid lymph node"
"UBERON:0035162"	"infraclavicular lymph node"
"UBERON:0035204"	"occipital lymph node"
"UBERON:0037787"	"right occipital lymph node"
"UBERON:0037788"	"left occipital lymph node"
"UBERON:0015918"	"deep lymph node"
"UBERON:0016393"	"deep parotid lymph node"
"UBERON:0016394"	"anterior auricular lymph node"
"UBERON:0016395"	"infra-auricular lymph node"
"UBERON:0016396"	"intraglandular lymph node"
"UBERON:0016374"	"sciatic lymph node"
"UBERON:0016378"	"ileocolic lymph node"
"UBERON:0038787"	"superior ileocolic lymph node"
"UBERON:0039162"	"inferior ileocolic lymph node"
"UBERON:0016386"	"paraaortic lymph node"
"UBERON:0016390"	"auricular lymph node"
"UBERON:0016391"	"thymic lymph node"
"UBERON:0016398"	"lymph node of lower limb"
"UBERON:0038861"	"tibial lymph node"
"UBERON:0038864"	"fibular lymph node"
"UBERON:0016399"	"lymph node of upper limb"
"UBERON:0038048"	"antebrachial lymph node"
"UBERON:0038867"	"interpectoral lymph node"
"UBERON:0038870"	"cubital lymph node"
"UBERON:0038871"	"supratrochlear lymph node"
"UBERON:0015857"	"parotid lymph node"
"UBERON:0016481"	"bronchial lymph node"
"UBERON:0015870"	"lymph node of head"
"UBERON:0015926"	"cranial deep lymph node"
"UBERON:0016392"	"mastoid lymph node"
"UBERON:0016397"	"submental lymph node"
"UBERON:0015871"	"facial lymph node"
"UBERON:0015922"	"accessory mandibular lymph node"
"UBERON:0015872"	"mandibular lymph node"
"UBERON:0038920"	"buccinator lymph node"
"UBERON:0038922"	"nasolabial lymph node"
"UBERON:0038923"	"malar lymph node"
"UBERON:0035080"	"intraparotid lymph node"
"UBERON:0035079"	"deep intraparotid lymph node"
"UBERON:0037995"	"supramandibular lymph node"
"UBERON:0038925"	"lingual lymph node"
"UBERON:0035371"	"retroperitoneal lymph node"
"UBERON:0035495"	"hilum of lymph node"
"UBERON:0038849"	"craniocervical lymph node"
"UBERON:8410032"	"trabecular sinus of lymph node"
"UBERON:8410038"	"high endothelial venule of lymph node"
"CL:0009049"	"smooth muscle cell of high endothelial venule of lymph node"
"UBERON:8410041"	"venule of lymph node"
"CL:4033000"	"endothelial cell of venule of lymph node"
"UBERON:8410042"	"arteriole of lymph node"
"CL:4033001"	"endothelial cell of arteriole of lymph node"
"UBERON:8410065"	"lymph node follicle marginal zone"
"CL:0009060"	"marginal zone B cell of lymph node"
"UBERON:8470001"	"sublumbar lymph node"
"UBERON:0002528"	"sacral lymph node"
"UBERON:0039163"	"lateral sacral lymph node"
"UBERON:0039164"	"medial sacral lymph node"
"UBERON:0001744"	"lymphoid tissue"
"UBERON:0000444"	"lymphoid follicle"
"UBERON:0001249"	"spleen lymphoid follicle"
"UBERON:0004041"	"spleen primary B follicle"
"UBERON:0004042"	"spleen secondary B follicle"
"UBERON:0005196"	"spleen germinal center"
"UBERON:0010421"	"spleen B cell corona"
"UBERON:0010756"	"spleen follicular dendritic cell network"
"UBERON:0001745"	"secondary nodular lymphoid tissue"
"CL:0000844"	"germinal center B cell"
"CL:0000963"	"Bm3-delta B cell"
"CL:0000964"	"Bm2' B cell"
"CL:0000965"	"Bm3 B cell"
"CL:0000966"	"Bm4 B cell"
"CL:2000006"	"tonsil germinal center B cell"
"UBERON:0010754"	"germinal center"
"UBERON:0004697"	"Peyer's patch germinal center"
"UBERON:0013688"	"tonsil germinal center"
"UBERON:0010755"	"secondary follicle corona"
"UBERON:0010422"	"primary nodular lymphoid tissue"
"UBERON:0010423"	"primary lymphoid nodule of tonsil"
"UBERON:0010386"	"Peyer's patch follicle"
"UBERON:0003483"	"thymus lymphoid tissue"
"UBERON:0012069"	"epithelium-associated lymphoid tissue"
"UBERON:0001961"	"mucosa-associated lymphoid tissue"
"UBERON:0001735"	"tonsillar ring"
"UBERON:0002372"	"tonsil"
"CL:1001577"	"tonsil squamous cell"
"UBERON:0001732"	"pharyngeal tonsil"
"UBERON:0003949"	"tubal tonsil"
"UBERON:0002373"	"palatine tonsil"
"UBERON:0005207"	"tonsil capsule"
"UBERON:0007250"	"lingual tonsil"
"UBERON:0012181"	"tonsil crypt"
"UBERON:0013696"	"tonsil epithelium"
"UBERON:0035228"	"tonsillar fossa"
"UBERON:0036274"	"tonsillar pillar"
"UBERON:0001962"	"gut-associated lymphoid tissue"
"UBERON:0001211"	"Peyer's patch"
"CL:0002402"	"Peyer's patch B cell"
"CL:0009014"	"Peyer's patch lymphocyte"
"UBERON:0003453"	"large intestine Peyer's patch"
"UBERON:0003454"	"small intestine Peyer's patch"
"CL:1000411"	"endothelial cell of Peyer's patch"
"UBERON:8410040"	"high endothelial venule of small intestine Peyer's patch"
"UBERON:0004693"	"Peyer's patch epithelium"
"UBERON:0010387"	"Peyer's patch T cell area"
"UBERON:0012330"	"nasal-associated lymphoid tissue"
"UBERON:0013478"	"cecal tonsil"
"UBERON:0001963"	"bronchial-associated lymphoid tissue"
"UBERON:0013689"	"appendix lymphoid tissue"
"UBERON:8410069"	"lymphoid nodule"
"UBERON:0005435"	"upper part of cisterna chyli"
"UBERON:0006558"	"lymphatic part of lymphoid system"
"UBERON:0011765"	"jugular lymph sac"
"UBERON:0001473"	"lymphatic vessel"
"CL:0002138"	"endothelial cell of lymphatic vessel"
"CL:0009086"	"endothelial cell of respiratory system lymphatic vessel"
"CL:2000011"	"dermis lymphatic vessel endothelial cell"
"CL:2000041"	"dermis microvascular lymphatic vessel endothelial cell"
"CL:4033006"	"endothelial cell of efferent lymphatic vessel"
"CL:0002554"	"fibroblast of lymphatic vessel"
"UBERON:0002042"	"lymphatic vessel endothelium"
"UBERON:0003529"	"respiratory system lymphatic vessel endothelium"
"CL:0019017"	"lymphatic vessel smooth muscle cell"
"UBERON:0001631"	"thoracic duct"
"UBERON:0001422"	"facial lymphatic vessel"
"UBERON:0001425"	"pectoral lymphatic vessel"
"UBERON:0001426"	"jugular lymphatic vessel"
"UBERON:0003456"	"respiratory system lymphatic vessel"
"UBERON:0004296"	"respiratory system lymphatic vessel smooth muscle"
"UBERON:0018227"	"pulmonary lymphatic vessel"
"UBERON:8410078"	"right lymphatic duct"
"UBERON:0004232"	"lymphatic vessel smooth muscle"
"UBERON:0006842"	"lymphatic capillary"
"UBERON:0018410"	"lacteal"
"UBERON:8410029"	"lymphatic capillary of appendix"
