"id"	"label"
"GO:0001659"	"temperature homeostasis"
"GO:0031649"	"heat generation"
"GO:0031653"	"heat dissipation"
"GO:0042309"	"homoiothermy"
"GO:0060086"	"circadian temperature homeostasis"
"GO:0106106"	"cold-induced thermogenesis"
"GO:0001660"	"fever generation"
"GO:0031650"	"regulation of heat generation"
"GO:0031651"	"negative regulation of heat generation"
"GO:0031652"	"positive regulation of heat generation"
"GO:0031654"	"regulation of heat dissipation"
"GO:0031655"	"negative regulation of heat dissipation"
"GO:0031656"	"positive regulation of heat dissipation"
"GO:0120161"	"regulation of cold-induced thermogenesis"
"GO:0120162"	"positive regulation of cold-induced thermogenesis"
"GO:0120163"	"negative regulation of cold-induced thermogenesis"
"GO:0031620"	"regulation of fever generation"
"GO:0031621"	"negative regulation of fever generation"
"GO:0031622"	"positive regulation of fever generation"
"GO:0100008"	"regulation of fever generation by prostaglandin biosynthetic process"
"GO:0100009"	"regulation of fever generation by prostaglandin secretion"
"GO:0100010"	"positive regulation of fever generation by prostaglandin biosynthetic process"
"GO:0100011"	"positive regulation of fever generation by prostaglandin secretion"
"GO:0071809"	"regulation of fever generation by regulation of prostaglandin biosynthesis"
"GO:0071810"	"regulation of fever generation by regulation of prostaglandin secretion"
"GO:0071811"	"positive regulation of fever generation by positive regulation of prostaglandin biosynthesis"
"GO:0071812"	"positive regulation of fever generation by positive regulation of prostaglandin secretion"
"GO:0001751"	"compound eye photoreceptor cell differentiation"
"GO:0001752"	"compound eye photoreceptor fate commitment"
"GO:0042051"	"compound eye photoreceptor development"
"GO:0045465"	"R8 cell differentiation"
"GO:0045466"	"R7 cell differentiation"
"GO:0048052"	"R1/R6 cell differentiation"
"GO:0048054"	"R2/R5 cell differentiation"
"GO:0048056"	"R3/R4 cell differentiation"
"GO:0110116"	"regulation of compound eye photoreceptor cell differentiation"
"GO:0110117"	"positive regulation of compound eye photoreceptor cell differentiation"
"GO:0110118"	"negative regulation of compound eye photoreceptor cell differentiation"
"GO:0007460"	"R8 cell fate commitment"
"GO:0007462"	"R1/R6 cell fate commitment"
"GO:0007463"	"R2/R5 cell fate commitment"
"GO:0007464"	"R3/R4 cell fate commitment"
"GO:0007465"	"R7 cell fate commitment"
"GO:0042052"	"rhabdomere development"
"GO:0045314"	"regulation of compound eye photoreceptor development"
"GO:0045315"	"positive regulation of compound eye photoreceptor development"
"GO:0045316"	"negative regulation of compound eye photoreceptor development"
"GO:0045463"	"R8 cell development"
"GO:0045467"	"R7 cell development"
"GO:0045470"	"R8 cell-mediated photoreceptor organization"
"GO:0045676"	"regulation of R7 cell differentiation"
"GO:0045677"	"negative regulation of R7 cell differentiation"
"GO:0045678"	"positive regulation of R7 cell differentiation"
"GO:0045679"	"regulation of R8 cell differentiation"
"GO:0045680"	"negative regulation of R8 cell differentiation"
"GO:0045681"	"positive regulation of R8 cell differentiation"
"GO:0048053"	"R1/R6 development"
"GO:0048055"	"R2/R5 development"
"GO:0048057"	"R3/R4 development"
"GO:0045313"	"rhabdomere membrane biogenesis"
"GO:0045464"	"R8 cell fate specification"
"GO:0045500"	"sevenless signaling pathway"
"GO:0045501"	"regulation of sevenless signaling pathway"
