"source"	"source_name"	"relation"	"target"	"target_name"
"GO:0050877"	"nervous system process"	"has participant"	"UBERON:0001016"	"nervous system"
"GO:0007399"	"nervous system development"	"results in development of"	"UBERON:0001016"	"nervous system"
"GO:0007610"	"behavior"	"process has causal agent"	"UBERON:0001016"	"nervous system"
"UBERON:0001016"	"nervous system"	"capable of"	"GO:0050877"	"nervous system process"
"GO:0070444"	"oligodendrocyte progenitor proliferation"	"acts on population of"	"CL:0002453"	"oligodendrocyte precursor cell"
"GO:0150099"	"neuron-glial cell signaling"	"has end location"	"CL:0000125"	"glial cell"
"GO:0150098"	"glial cell-neuron signaling"	"has start location"	"CL:0000125"	"glial cell"
"GO:0097386"	"glial cell projection"	"part of"	"CL:0000125"	"glial cell"
"GO:0061900"	"glial cell activation"	"has primary input"	"CL:0000125"	"glial cell"
"GO:0043209"	"myelin sheath"	"part of"	"CL:0000125"	"glial cell"
"GO:0042065"	"glial cell growth"	"results in growth of"	"CL:0000125"	"glial cell"
"GO:0042063"	"gliogenesis"	"results in formation of anatomical entity"	"CL:0000125"	"glial cell"
"GO:0034349"	"glial cell apoptotic process"	"occurs in"	"CL:0000125"	"glial cell"
"GO:0014009"	"glial cell proliferation"	"acts on population of"	"CL:0000125"	"glial cell"
"GO:0010001"	"glial cell differentiation"	"results in acquisition of features of"	"CL:0000125"	"glial cell"
"GO:0008347"	"glial cell migration"	"results in movement of"	"CL:0000125"	"glial cell"
"GO:0007272"	"ensheathment of neurons"	"has participant"	"CL:0000125"	"glial cell"
"GO:0021801"	"cerebral cortex radial glia guided migration"	"results in movement of"	"CL:0000125"	"glial cell"
"GO:0021782"	"glial cell development"	"results in development of"	"CL:0000125"	"glial cell"
"GO:0097449"	"astrocyte projection"	"part of"	"CL:0000127"	"astrocyte"
"GO:0048708"	"astrocyte differentiation"	"results in acquisition of features of"	"CL:0000127"	"astrocyte"
"GO:0048143"	"astrocyte activation"	"has primary input"	"CL:0000127"	"astrocyte"
"GO:0043615"	"astrocyte cell migration"	"results in movement of"	"CL:0000127"	"astrocyte"
"GO:0036520"	"astrocyte-dopaminergic neuron signaling"	"has start location"	"CL:0000127"	"astrocyte"
"GO:0035700"	"astrocyte chemotaxis"	"results in movement of"	"CL:0000127"	"astrocyte"
"GO:0014002"	"astrocyte development"	"results in development of"	"CL:0000127"	"astrocyte"
"GO:0021897"	"forebrain astrocyte development"	"results in development of"	"CL:0012000"	"astrocyte of the forebrain"
"GO:0021896"	"forebrain astrocyte differentiation"	"results in acquisition of features of"	"CL:0012000"	"astrocyte of the forebrain"
"GO:0097450"	"astrocyte end-foot"	"subClassOf"	"GO:0097449"	"astrocyte projection"
"GO:0097449"	"astrocyte projection"	"subClassOf"	"GO:0097386"	"glial cell projection"
"UBERON:0018687"	"glial limiting membrane"	"has part"	"GO:0097450"	"astrocyte end-foot"
"GO:0097252"	"oligodendrocyte apoptotic process"	"occurs in"	"CL:0000128"	"oligodendrocyte"
"GO:0048709"	"oligodendrocyte differentiation"	"results in acquisition of features of"	"CL:0000128"	"oligodendrocyte"
"GO:0022032"	"telencephalon oligodendrocyte cell migration"	"has primary input"	"CL:0000128"	"oligodendrocyte"
"GO:0014003"	"oligodendrocyte development"	"results in development of"	"CL:0000128"	"oligodendrocyte"
"GO:0060019"	"radial glial cell differentiation"	"results in acquisition of features of"	"CL:0000681"	"radial glial cell"
"GO:0021861"	"forebrain radial glial cell differentiation"	"results in acquisition of features of"	"CL:0013000"	"forebrain radial glial cell"
"GO:0021531"	"spinal cord radial glial cell differentiation"	"results in acquisition of features of"	"CL:1000073"	"spinal cord radial glial cell"
"GO:1990751"	"Schwann cell chemotaxis"	"results in movement of"	"CL:0002573"	"Schwann cell"
