"id"	"label"
"UBERON:0001016"	"nervous system"
"CL:0002319"	"neural cell"
"CL:1001602"	"cerebral cortex endothelial cell"
"CL:0002590"	"smooth muscle cell of the brain vasculature"
"CL:0002362"	"cerebellar granule cell precursor"
"CL:0000095"	"neuron associated cell"
"CL:0000123"	"neuron associated cell (sensu Vertebrata)"
"CL:0000242"	"Merkel cell"
"UBERON:0012456"	"Merkel nerve ending"
"CL:0000339"	"glioblast (sensu Vertebrata)"
"CL:0002453"	"oligodendrocyte precursor cell"
"CL:0000125"	"glial cell"
"CL:0000126"	"macroglial cell"
"CL:0000127"	"astrocyte"
"CL:0002603"	"astrocyte of the cerebellum"
"CL:0002606"	"astrocyte of the spinal cord"
"CL:0012000"	"astrocyte of the forebrain"
"CL:0002605"	"astrocyte of the cerebral cortex"
"CL:0002604"	"hippocampal astrocyte"
"CL:4033015"	"retinal astrocyte"
"GO:0097449"	"astrocyte projection"
"GO:0097450"	"astrocyte end-foot"
"CL:0000128"	"oligodendrocyte"
"CL:2000025"	"spinal cord oligodendrocyte"
"CL:2000005"	"brain macroglial cell"
"CL:0000681"	"radial glial cell"
"CL:0000636"	"Mueller cell"
"CL:0013000"	"forebrain radial glial cell"
"CL:1000073"	"spinal cord radial glial cell"
"CL:0002573"	"Schwann cell"
"CL:0000218"	"myelinating Schwann cell"
"CL:0002377"	"immature Schwann cell"
"GO:0097454"	"Schwann cell microvillus"
"CL:0010020"	"cardiac glial cell"
"CL:1000050"	"lateral line nerve glial cell"
"CL:1000236"	"posterior lateral line nerve glial cell"
"CL:1000239"	"anterior lateral line nerve glial cell"
"CL:1001579"	"cerebral cortex glial cell"
"CL:1001580"	"hippocampal glial cell"
"CL:1001581"	"lateral ventricle glial cell"
"CL:4040002"	"enteroglial cell"
"CL:4023154"	"myelinating glial cell"
"GO:0043209"	"myelin sheath"
"GO:0097386"	"glial cell projection"
"CL:0000652"	"pinealocyte"
"CL:0000540"	"neuron"
"GO:0001750"	"photoreceptor outer segment"
"GO:0120199"	"cone photoreceptor outer segment"
"GO:0120200"	"rod photoreceptor outer segment"
"CL:4023168"	"somatosensory neuron"
"CL:1001451"	"sensory neuron of dorsal root ganglion"
"CL:0000029"	"neural crest derived neuron"
"CL:0000166"	"chromaffin cell"
"CL:0000637"	"chromophil cell of anterior pituitary gland"
"CL:0000638"	"acidophil cell of pars distalis of adenohypophysis"
"CL:0002312"	"somatotroph"
"CL:1000425"	"chromaffin cell of paraganglion"
"CL:1000424"	"chromaffin cell of paraaortic body"
"CL:1000426"	"chromaffin cell of adrenal gland"
"CL:0000336"	"adrenal medulla chromaffin cell"
"CL:0002082"	"type II cell of adrenal medulla"
"CL:0002083"	"type I cell of adrenal medulla"
"CL:1000427"	"adrenal cortex chromaffin cell"
"CL:1000465"	"chromaffin cell of ovary"
"CL:1000466"	"chromaffin cell of right ovary"
"CL:1000467"	"chromaffin cell of left ovary"
"CL:0007011"	"enteric neuron"
"CL:0000099"	"interneuron"
"CL:0000103"	"bipolar neuron"
"CL:0000748"	"retinal bipolar neuron"
"CL:0000752"	"cone retinal bipolar cell"
"CL:0000397"	"ganglion interneuron"
"CL:0000402"	"CNS interneuron"
